year,state,births,region,percent,topFive
1936,AZ,8159,West,0.42,"['Mary', 'Robert', 'John', 'Richard', 'James']"
1936,AR,34206,South,1.77,"['James', 'Betty', 'Charles', 'John', 'Billy']"
1936,CA,74911,West,3.87,"['Robert', 'Richard', 'John', 'Barbara', 'James']"
1936,CO,16287,West,0.84,"['Robert', 'Mary', 'John', 'Shirley', 'Richard']"
1936,CT,18956,Northeast,0.98,"['Robert', 'John', 'Richard', 'Barbara', 'William']"
1936,DE,2732,South,0.14,"['Robert', 'John', 'James', 'William', 'Mary']"
1936,FL,25099,South,1.30,"['James', 'Robert', 'John', 'William', 'Betty']"
1936,GA,57938,South,2.99,"['James', 'William', 'Robert', 'John', 'Charles']"
1936,HI,5599,West,0.29,"['Richard', 'Robert', 'George', 'James', 'Shirley']"
1936,ID,7817,West,0.40,"['Robert', 'John', 'James', 'Shirley', 'Mary']"
1936,IL,102880,Midwest,5.31,"['Robert', 'John', 'James', 'Richard', 'Donald']"
1936,IN,47116,Midwest,2.43,"['Robert', 'James', 'John', 'Richard', 'Donald']"
1936,IA,38000,Midwest,1.96,"['Robert', 'Mary', 'Richard', 'Shirley', 'James']"
1936,KS,25905,Midwest,1.34,"['Robert', 'Shirley', 'John', 'Donald', 'James']"
1936,KY,50998,South,2.63,"['James', 'William', 'Betty', 'Charles', 'Robert']"
1936,LA,40019,South,2.07,"['James', 'John', 'Joseph', 'Robert', 'Betty']"
1936,ME,12410,Northeast,0.64,"['Robert', 'Richard', 'John', 'Donald', 'Mary']"
1936,MD,22396,South,1.16,"['Mary', 'John', 'Robert', 'William', 'James']"
1936,MA,55117,Northeast,2.85,"['Robert', 'John', 'Richard', 'William', 'Barbara']"
1936,MI,78585,Midwest,4.06,"['Robert', 'James', 'Richard', 'John', 'William']"
1936,MN,40674,Midwest,2.10,"['Robert', 'Richard', 'James', 'Mary', 'John']"
1936,MS,41053,South,2.12,"['James', 'John', 'Robert', 'Willie', 'William']"
1936,MO,52015,Midwest,2.69,"['Robert', 'James', 'John', 'Donald', 'William']"
1936,MT,7957,West,0.41,"['Robert', 'Shirley', 'John', 'James', 'Mary']"
1936,NE,20109,Midwest,1.04,"['Robert', 'Mary', 'Richard', 'Shirley', 'Donald']"
1936,NV,616,West,0.03,"['Robert', 'John', 'Mary', 'Richard', 'James']"
1936,NH,5987,Northeast,0.31,"['Robert', 'Richard', 'Donald', 'John', 'William']"
1936,NJ,47558,Northeast,2.46,"['Robert', 'John', 'William', 'Barbara', 'Joseph']"
1936,NM,10001,West,0.52,"['Joe', 'Robert', 'Jose', 'John', 'James']"
1936,NY,165849,Northeast,8.57,"['Robert', 'John', 'Richard', 'William', 'James']"
1936,NC,69667,South,3.60,"['James', 'William', 'Robert', 'John', 'Charles']"
1936,ND,11251,Midwest,0.58,"['Robert', 'James', 'Shirley', 'Mary', 'Donald']"
1936,OH,94476,Midwest,4.88,"['Robert', 'James', 'John', 'Richard', 'William']"
1936,OK,41164,South,2.13,"['James', 'Charles', 'Robert', 'John', 'Donald']"
1936,OR,11441,West,0.59,"['Robert', 'Richard', 'James', 'Donald', 'John']"
1936,PA,142633,Northeast,7.37,"['Robert', 'John', 'James', 'William', 'Richard']"
1936,RI,8307,Northeast,0.43,"['Robert', 'John', 'Richard', 'Barbara', 'Joseph']"
1936,SC,38482,South,1.99,"['James', 'John', 'William', 'Robert', 'Willie']"
1936,SD,10412,Midwest,0.54,"['Robert', 'Shirley', 'James', 'Donald', 'Mary']"
1936,TN,51905,South,2.68,"['James', 'William', 'Robert', 'Charles', 'John']"
1936,TX,110569,South,5.71,"['James', 'Robert', 'John', 'Charles', 'Barbara']"
1936,UT,9404,West,0.49,"['Robert', 'Richard', 'Mary', 'Carol', 'Gary']"
1936,VT,4884,Northeast,0.25,"['Robert', 'Richard', 'Shirley', 'John', 'Mary']"
1936,VA,44551,South,2.30,"['James', 'William', 'Robert', 'John', 'Betty']"
1936,WA,19559,West,1.01,"['Robert', 'James', 'John', 'Richard', 'Donald']"
1936,WV,36318,South,1.88,"['James', 'Robert', 'William', 'Betty', 'Charles']"
1936,WI,46346,Midwest,2.39,"['Robert', 'James', 'Richard', 'John', 'Donald']"
1936,WY,3194,West,0.16,"['Robert', 'Mary', 'James', 'John', 'William']"
1937,AK,583,West,0.03,"['Mary', 'Robert', 'William', 'George', 'John']"
1937,AL,56555,South,2.85,"['James', 'John', 'William', 'Robert', 'Charles']"
1937,AZ,9060,West,0.46,"['Mary', 'Robert', 'John', 'James', 'William']"
1937,AR,35220,South,1.77,"['James', 'Charles', 'John', 'Robert', 'William']"
1937,CA,83722,West,4.21,"['Robert', 'Richard', 'John', 'James', 'William']"
1937,CO,17468,West,0.88,"['Robert', 'Mary', 'John', 'James', 'Donald']"
1937,CT,19338,Northeast,0.97,"['Robert', 'John', 'Richard', 'Barbara', 'William']"
1937,DE,3093,South,0.16,"['William', 'Robert', 'John', 'James', 'Mary']"
1937,FL,25800,South,1.30,"['James', 'Mary', 'Robert', 'William', 'John']"
1937,GA,59419,South,2.99,"['James', 'William', 'John', 'Robert', 'Charles']"
1937,HI,6099,West,0.31,"['Robert', 'Richard', 'George', 'James', 'John']"
1937,ID,8026,West,0.40,"['Robert', 'Mary', 'Richard', 'Larry', 'James']"
1937,IL,105981,Midwest,5.33,"['Robert', 'James', 'John', 'Richard', 'William']"
1937,IN,49380,Midwest,2.49,"['Robert', 'James', 'John', 'William', 'Donald']"
1937,IA,37589,Midwest,1.89,"['Robert', 'Mary', 'Richard', 'James', 'John']"
1937,KS,25118,Midwest,1.26,"['Robert', 'Mary', 'James', 'Donald', 'John']"
1937,KY,51835,South,2.61,"['James', 'Betty', 'William', 'Charles', 'Robert']"
1937,LA,41563,South,2.09,"['John', 'James', 'Robert', 'Joseph', 'Betty']"
1937,ME,12291,Northeast,0.62,"['Robert', 'Richard', 'Mary', 'John', 'Patricia']"
1937,MD,23604,South,1.19,"['Mary', 'Robert', 'William', 'John', 'James']"
1937,MA,55620,Northeast,2.80,"['Robert', 'John', 'Richard', 'William', 'Barbara']"
1937,MI,81652,Midwest,4.11,"['Robert', 'James', 'Richard', 'John', 'Patricia']"
1937,MN,41466,Midwest,2.09,"['Robert', 'James', 'Richard', 'John', 'Mary']"
1937,MS,42821,South,2.16,"['James', 'John', 'Robert', 'Willie', 'William']"
1937,MO,52499,Midwest,2.64,"['James', 'Robert', 'John', 'Donald', 'Charles']"
1937,MT,8009,West,0.40,"['Robert', 'James', 'John', 'Richard', 'Mary']"
1937,NE,18837,Midwest,0.95,"['Robert', 'Richard', 'James', 'Donald', 'Larry']"
1937,NV,895,West,0.05,"['Robert', 'Richard', 'Mary', 'John', 'James']"
1937,NH,6017,Northeast,0.30,"['Robert', 'Richard', 'John', 'Barbara', 'David']"
1937,NJ,48569,Northeast,2.44,"['Robert', 'John', 'William', 'Joseph', 'Richard']"
1937,NM,10874,West,0.55,"['Mary', 'Joe', 'Robert', 'John', 'James']"
1937,NY,169163,Northeast,8.51,"['Robert', 'John', 'Richard', 'William', 'James']"
1937,NC,71550,South,3.60,"['James', 'William', 'Robert', 'John', 'Charles']"
1937,ND,10339,Midwest,0.52,"['Robert', 'Donald', 'James', 'Shirley', 'Mary']"
1937,OH,98514,Midwest,4.96,"['Robert', 'James', 'John', 'Richard', 'William']"
1937,OK,39511,South,1.99,"['James', 'Robert', 'Charles', 'Betty', 'Barbara']"
1937,OR,12570,West,0.63,"['Robert', 'James', 'Richard', 'John', 'William']"
1937,PA,145148,Northeast,7.31,"['Robert', 'John', 'William', 'James', 'Richard']"
1937,RI,8459,Northeast,0.43,"['Robert', 'John', 'Barbara', 'William', 'Richard']"
1937,SC,39835,South,2.01,"['James', 'John', 'William', 'Robert', 'Willie']"
1937,SD,9379,Midwest,0.47,"['Robert', 'James', 'Mary', 'Donald', 'Shirley']"
1937,TN,52306,South,2.63,"['James', 'Betty', 'William', 'Robert', 'Charles']"
1937,TX,112656,South,5.67,"['James', 'Robert', 'John', 'Charles', 'William']"
1937,UT,9645,West,0.49,"['Robert', 'Richard', 'Carol', 'James', 'John']"
1937,VT,4777,Northeast,0.24,"['Robert', 'Richard', 'John', 'Mary', 'Patricia']"
1937,VA,45162,South,2.27,"['James', 'Mary', 'William', 'Robert', 'John']"
1937,WA,21219,West,1.07,"['Robert', 'James', 'Richard', 'John', 'Barbara']"
1937,WV,37579,South,1.89,"['James', 'Robert', 'Charles', 'William', 'John']"
1937,WI,47109,Midwest,2.37,"['Robert', 'James', 'Richard', 'John', 'Donald']"
1937,WY,3129,West,0.16,"['Mary', 'Robert', 'James', 'John', 'William']"
1938,AK,644,West,0.03,"['Mary', 'Robert', 'John', 'William', 'Edward']"
1938,AL,56816,South,2.75,"['James', 'John', 'Robert', 'William', 'Charles']"
1938,AZ,9580,West,0.46,"['Mary', 'Robert', 'John', 'James', 'Richard']"
1938,AR,36896,South,1.78,"['James', 'Betty', 'Charles', 'John', 'Robert']"
1938,CA,91595,West,4.43,"['Robert', 'John', 'Richard', 'James', 'William']"
1938,CO,18226,West,0.88,"['Robert', 'Mary', 'John', 'James', 'Richard']"
1938,CT,20302,Northeast,0.98,"['Robert', 'John', 'Richard', 'Barbara', 'William']"
1938,DE,3184,South,0.15,"['William', 'Robert', 'John', 'Barbara', 'James']"
1938,FL,27390,South,1.32,"['James', 'Mary', 'Robert', 'John', 'William']"
1938,GA,60362,South,2.92,"['James', 'William', 'Robert', 'John', 'Willie']"
1938,HI,6292,West,0.30,"['Robert', 'James', 'George', 'Richard', 'John']"
1938,ID,8732,West,0.42,"['Robert', 'James', 'Larry', 'Richard', 'Mary']"
1938,IL,112232,Midwest,5.43,"['Robert', 'James', 'John', 'Richard', 'William']"
1938,IN,53042,Midwest,2.56,"['Robert', 'James', 'John', 'William', 'Richard']"
1938,IA,38949,Midwest,1.88,"['Robert', 'Mary', 'James', 'Larry', 'Richard']"
1938,KS,25532,Midwest,1.23,"['Mary', 'Robert', 'James', 'Larry', 'John']"
1938,KY,56177,South,2.72,"['James', 'William', 'Betty', 'Charles', 'Robert']"
1938,LA,43601,South,2.11,"['James', 'John', 'Robert', 'Barbara', 'Charles']"
1938,ME,12456,Northeast,0.60,"['Robert', 'Richard', 'John', 'Patricia', 'Mary']"
1938,MD,24897,South,1.20,"['Mary', 'Robert', 'William', 'John', 'James']"
1938,MA,56839,Northeast,2.75,"['Robert', 'John', 'Richard', 'William', 'Barbara']"
1938,MI,86551,Midwest,4.18,"['Robert', 'James', 'Richard', 'John', 'William']"
1938,MN,43462,Midwest,2.10,"['Robert', 'James', 'Richard', 'John', 'Mary']"
1938,MS,43987,South,2.13,"['James', 'Robert', 'John', 'Willie', 'Charles']"
1938,MO,54626,Midwest,2.64,"['James', 'Robert', 'John', 'Barbara', 'William']"
1938,MT,8268,West,0.40,"['Robert', 'James', 'John', 'William', 'Mary']"
1938,NE,19031,Midwest,0.92,"['Robert', 'Mary', 'Richard', 'Larry', 'James']"
1938,NV,984,West,0.05,"['John', 'Robert', 'William', 'James', 'Richard']"
1938,NH,6169,Northeast,0.30,"['Robert', 'Richard', 'John', 'James', 'Donald']"
1938,NJ,50178,Northeast,2.43,"['Robert', 'John', 'William', 'Richard', 'Joseph']"
1938,NM,11217,West,0.54,"['Mary', 'Joe', 'Robert', 'John', 'James']"
1938,NY,173765,Northeast,8.40,"['Robert', 'John', 'Richard', 'William', 'James']"
1938,NC,72651,South,3.51,"['James', 'William', 'Robert', 'John', 'Charles']"
1938,ND,10562,Midwest,0.51,"['Robert', 'James', 'Donald', 'Mary', 'Richard']"
1938,OH,103767,Midwest,5.02,"['Robert', 'James', 'John', 'William', 'Richard']"
1938,OK,41396,South,2.00,"['Mary', 'James', 'Robert', 'Charles', 'Donald']"
1938,OR,13284,West,0.64,"['Robert', 'Richard', 'James', 'John', 'Mary']"
1938,PA,150522,Northeast,7.28,"['Robert', 'John', 'James', 'William', 'Richard']"
1938,RI,8768,Northeast,0.42,"['Robert', 'John', 'Richard', 'Barbara', 'Joseph']"
1938,SC,39880,South,1.93,"['James', 'John', 'William', 'Robert', 'Betty']"
1938,SD,9457,Midwest,0.46,"['Robert', 'James', 'Mary', 'Richard', 'Donald']"
1938,TN,53924,South,2.61,"['James', 'William', 'Charles', 'Robert', 'Barbara']"
1938,TX,116849,South,5.65,"['James', 'Robert', 'John', 'Barbara', 'Charles']"
1938,UT,10056,West,0.49,"['Robert', 'Richard', 'John', 'David', 'James']"
1938,VT,4826,Northeast,0.23,"['Robert', 'Richard', 'John', 'Mary', 'James']"
1938,VA,47126,South,2.28,"['James', 'William', 'Robert', 'John', 'Barbara']"
1938,WA,22702,West,1.10,"['Robert', 'James', 'John', 'Richard', 'William']"
1938,WV,38206,South,1.85,"['James', 'Robert', 'Charles', 'William', 'Betty']"
1938,WI,48659,Midwest,2.35,"['Robert', 'James', 'Richard', 'John', 'Barbara']"
1938,WY,3393,West,0.16,"['Robert', 'Mary', 'John', 'James', 'Barbara']"
1939,AK,614,West,0.03,"['John', 'Mary', 'William', 'George', 'David']"
1939,AL,56264,South,2.73,"['James', 'William', 'John', 'Robert', 'Charles']"
1939,AZ,9394,West,0.46,"['Mary', 'Robert', 'James', 'John', 'Barbara']"
1939,AR,36297,South,1.76,"['James', 'Charles', 'John', 'Robert', 'William']"
1939,CA,93466,West,4.54,"['Robert', 'Richard', 'John', 'James', 'William']"
1939,CO,18232,West,0.89,"['Robert', 'Mary', 'James', 'John', 'Richard']"
1939,CT,20294,Northeast,0.99,"['Robert', 'John', 'Richard', 'William', 'Barbara']"
1939,DE,3202,South,0.16,"['John', 'Robert', 'William', 'James', 'Mary']"
1939,FL,28186,South,1.37,"['James', 'Robert', 'John', 'William', 'Charles']"
1939,GA,61658,South,2.99,"['James', 'William', 'Robert', 'John', 'Charles']"
1939,HI,6740,West,0.33,"['Robert', 'James', 'Richard', 'John', 'George']"
1939,ID,8700,West,0.42,"['Robert', 'Gary', 'Richard', 'John', 'Larry']"
1939,IL,108981,Midwest,5.29,"['Robert', 'James', 'John', 'Richard', 'William']"
1939,IN,51864,Midwest,2.52,"['James', 'Robert', 'John', 'Larry', 'William']"
1939,IA,39296,Midwest,1.91,"['Robert', 'Mary', 'Larry', 'James', 'Richard']"
1939,KS,25471,Midwest,1.24,"['Mary', 'Larry', 'Robert', 'James', 'John']"
1939,KY,54873,South,2.66,"['James', 'William', 'Charles', 'Robert', 'John']"
1939,LA,44253,South,2.15,"['James', 'John', 'Robert', 'Charles', 'Joseph']"
1939,ME,12317,Northeast,0.60,"['Richard', 'Robert', 'John', 'Patricia', 'David']"
1939,MD,24487,South,1.19,"['Robert', 'John', 'William', 'James', 'Charles']"
1939,MA,57155,Northeast,2.77,"['Robert', 'John', 'Richard', 'William', 'James']"
1939,MI,85057,Midwest,4.13,"['Robert', 'James', 'Richard', 'John', 'William']"
1939,MN,43842,Midwest,2.13,"['Robert', 'James', 'Richard', 'John', 'David']"
1939,MS,43137,South,2.09,"['James', 'Robert', 'John', 'Willie', 'William']"
1939,MO,54743,Midwest,2.66,"['James', 'Robert', 'John', 'Barbara', 'William']"
1939,MT,8653,West,0.42,"['Robert', 'John', 'James', 'Richard', 'Sharon']"
1939,NE,19132,Midwest,0.93,"['Robert', 'Larry', 'Mary', 'Richard', 'James']"
1939,NV,1032,West,0.05,"['John', 'James', 'Richard', 'Robert', 'Mary']"
1939,NH,6358,Northeast,0.31,"['Robert', 'Richard', 'David', 'John', 'Nancy']"
1939,NJ,50618,Northeast,2.46,"['Robert', 'John', 'William', 'Barbara', 'Richard']"
1939,NM,11076,West,0.54,"['Joe', 'Robert', 'John', 'James', 'Richard']"
1939,NY,173026,Northeast,8.40,"['Robert', 'John', 'Richard', 'William', 'James']"
1939,NC,73004,South,3.54,"['James', 'William', 'Robert', 'John', 'Charles']"
1939,ND,10691,Midwest,0.52,"['James', 'Robert', 'Donald', 'Richard', 'Mary']"
1939,OH,101931,Midwest,4.95,"['Robert', 'James', 'John', 'William', 'Richard']"
1939,OK,40864,South,1.98,"['James', 'Mary', 'Charles', 'Jerry', 'Robert']"
1939,OR,13918,West,0.68,"['Robert', 'James', 'John', 'Richard', 'David']"
1939,PA,146145,Northeast,7.09,"['Robert', 'John', 'James', 'William', 'Richard']"
1939,RI,8740,Northeast,0.42,"['Robert', 'John', 'Richard', 'Barbara', 'William']"
1939,SC,41537,South,2.02,"['James', 'John', 'William', 'Robert', 'Charles']"
1939,SD,9602,Midwest,0.47,"['Robert', 'James', 'Mary', 'Larry', 'Richard']"
1939,TN,54197,South,2.63,"['James', 'William', 'Robert', 'Charles', 'John']"
1939,TX,115836,South,5.62,"['James', 'Robert', 'John', 'Charles', 'William']"
1939,UT,10044,West,0.49,"['Robert', 'John', 'Richard', 'David', 'Mary']"
1939,VT,4851,Northeast,0.24,"['Robert', 'Richard', 'John', 'William', 'Mary']"
1939,VA,46944,South,2.28,"['James', 'Mary', 'William', 'Robert', 'John']"
1939,WA,22453,West,1.09,"['Robert', 'John', 'James', 'Richard', 'David']"
1939,WV,37725,South,1.83,"['James', 'Robert', 'Charles', 'William', 'John']"
1939,WI,48218,Midwest,2.34,"['Robert', 'James', 'Mary', 'Richard', 'John']"
1939,WY,3430,West,0.17,"['John', 'Robert', 'Mary', 'James', 'William']"
1940,AK,806,West,0.04,"['John', 'Mary', 'James', 'William', 'Robert']"
1940,AL,58331,South,2.70,"['James', 'John', 'William', 'Robert', 'Charles']"
1940,AZ,9867,West,0.46,"['Mary', 'Robert', 'John', 'James', 'Richard']"
1940,AR,38355,South,1.78,"['James', 'Betty', 'Charles', 'John', 'Robert']"
1940,CA,102612,West,4.76,"['Robert', 'John', 'Richard', 'James', 'William']"
1940,CO,18898,West,0.88,"['Robert', 'Mary', 'John', 'James', 'Richard']"
1940,CT,21763,Northeast,1.01,"['Robert', 'John', 'Richard', 'William', 'Patricia']"
1940,DE,3419,South,0.16,"['William', 'Robert', 'John', 'James', 'Mary']"
1940,FL,30284,South,1.40,"['James', 'Mary', 'Robert', 'John', 'William']"
1940,GA,62875,South,2.91,"['James', 'William', 'Robert', 'John', 'Charles']"
1940,HI,6968,West,0.32,"['Robert', 'Richard', 'James', 'George', 'John']"
1940,ID,9116,West,0.42,"['Robert', 'Sharon', 'Gary', 'Larry', 'Richard']"
1940,IL,115158,Midwest,5.34,"['Robert', 'James', 'John', 'Richard', 'William']"
1940,IN,55284,Midwest,2.56,"['James', 'Robert', 'John', 'Larry', 'Mary']"
1940,IA,40750,Midwest,1.89,"['Mary', 'Robert', 'Larry', 'James', 'Richard']"
1940,KS,25246,Midwest,1.17,"['Larry', 'Mary', 'Robert', 'James', 'John']"
1940,KY,57180,South,2.65,"['James', 'William', 'Robert', 'Charles', 'Barbara']"
1940,LA,46027,South,2.13,"['James', 'John', 'Robert', 'Charles', 'Joseph']"
1940,ME,12537,Northeast,0.58,"['Robert', 'Richard', 'John', 'David', 'Patricia']"
1940,MD,26461,South,1.23,"['Mary', 'William', 'Robert', 'John', 'James']"
1940,MA,60089,Northeast,2.78,"['Robert', 'John', 'Richard', 'William', 'Mary']"
1940,MI,89730,Midwest,4.16,"['Robert', 'James', 'John', 'Richard', 'Patricia']"
1940,MN,46627,Midwest,2.16,"['Robert', 'James', 'Richard', 'Mary', 'John']"
1940,MS,44409,South,2.06,"['James', 'Robert', 'John', 'Charles', 'Willie']"
1940,MO,57144,Midwest,2.65,"['James', 'Robert', 'John', 'William', 'Charles']"
1940,MT,8996,West,0.42,"['Robert', 'James', 'John', 'Sharon', 'Richard']"
1940,NE,18960,Midwest,0.88,"['Robert', 'Larry', 'Mary', 'James', 'Richard']"
1940,NV,1155,West,0.05,"['Robert', 'James', 'John', 'William', 'Patricia']"
1940,NH,6823,Northeast,0.32,"['Robert', 'Richard', 'John', 'David', 'Patricia']"
1940,NJ,53002,Northeast,2.46,"['Robert', 'John', 'William', 'Richard', 'Patricia']"
1940,NM,11826,West,0.55,"['Joe', 'Robert', 'James', 'John', 'Richard']"
1940,NY,183453,Northeast,8.50,"['Robert', 'John', 'Richard', 'William', 'James']"
1940,NC,74622,South,3.46,"['James', 'William', 'Robert', 'John', 'Charles']"
1940,ND,10899,Midwest,0.51,"['Robert', 'Mary', 'James', 'Richard', 'Sharon']"
1940,OH,106847,Midwest,4.95,"['Robert', 'James', 'John', 'William', 'Richard']"
1940,OK,41470,South,1.92,"['James', 'Jerry', 'Robert', 'John', 'Barbara']"
1940,OR,15039,West,0.70,"['Robert', 'Richard', 'James', 'John', 'William']"
1940,PA,151792,Northeast,7.04,"['Robert', 'John', 'William', 'James', 'Richard']"
1940,RI,9130,Northeast,0.42,"['Robert', 'Richard', 'John', 'William', 'Barbara']"
1940,SC,43103,South,2.00,"['James', 'John', 'William', 'Robert', 'Willie']"
1940,SD,9768,Midwest,0.45,"['Robert', 'James', 'Mary', 'Richard', 'Larry']"
1940,TN,56059,South,2.60,"['James', 'William', 'Robert', 'Charles', 'John']"
1940,TX,122307,South,5.67,"['James', 'Robert', 'John', 'Charles', 'William']"
1940,UT,10541,West,0.49,"['Richard', 'John', 'Robert', 'David', 'Linda']"
1940,VT,5063,Northeast,0.23,"['Richard', 'Robert', 'John', 'Mary', 'Patricia']"
1940,VA,49153,South,2.28,"['James', 'William', 'Robert', 'John', 'Charles']"
1940,WA,24103,West,1.12,"['Robert', 'James', 'John', 'Richard', 'William']"
1940,WV,38293,South,1.77,"['James', 'Robert', 'William', 'Charles', 'John']"
1940,WI,49304,Midwest,2.29,"['Robert', 'James', 'Mary', 'John', 'Richard']"
1940,WY,3520,West,0.16,"['Robert', 'John', 'James', 'Mary', 'Richard']"
1941,AK,914,West,0.04,"['Mary', 'Robert', 'John', 'William', 'James']"
1941,AL,59139,South,2.58,"['James', 'William', 'John', 'Robert', 'Charles']"
1941,AZ,10229,West,0.45,"['Mary', 'Robert', 'John', 'James', 'Richard']"
1941,AR,39415,South,1.72,"['James', 'John', 'Betty', 'Charles', 'William']"
1941,CA,114275,West,4.99,"['Robert', 'John', 'Richard', 'James', 'William']"
1941,CO,18861,West,0.82,"['Robert', 'James', 'John', 'Richard', 'William']"
1941,CT,25205,Northeast,1.10,"['Robert', 'John', 'Richard', 'William', 'Patricia']"
1941,DE,3915,South,0.17,"['John', 'Robert', 'William', 'James', 'Mary']"
1941,FL,32802,South,1.43,"['James', 'Mary', 'Robert', 'William', 'John']"
1941,GA,64949,South,2.84,"['James', 'William', 'Robert', 'John', 'Betty']"
1941,HI,7515,West,0.33,"['Robert', 'Richard', 'James', 'Patricia', 'John']"
1941,ID,9156,West,0.40,"['Robert', 'James', 'Richard', 'Sharon', 'Larry']"
1941,IL,125016,Midwest,5.46,"['Robert', 'James', 'John', 'William', 'Richard']"
1941,IN,58862,Midwest,2.57,"['James', 'Robert', 'John', 'Larry', 'William']"
1941,IA,41901,Midwest,1.83,"['Robert', 'Mary', 'Larry', 'James', 'Richard']"
1941,KS,26342,Midwest,1.15,"['Larry', 'Mary', 'Robert', 'James', 'John']"
1941,KY,57053,South,2.49,"['James', 'William', 'Charles', 'Robert', 'John']"
1941,LA,49069,South,2.14,"['James', 'John', 'Robert', 'Joseph', 'Charles']"
1941,ME,13201,Northeast,0.58,"['Robert', 'Richard', 'James', 'David', 'John']"
1941,MD,29907,South,1.31,"['John', 'Robert', 'William', 'James', 'Charles']"
1941,MA,64975,Northeast,2.84,"['Robert', 'John', 'Richard', 'William', 'James']"
1941,MI,97706,Midwest,4.27,"['Robert', 'James', 'John', 'Richard', 'William']"
1941,MN,47894,Midwest,2.09,"['James', 'Robert', 'Richard', 'John', 'Mary']"
1941,MS,45176,South,1.97,"['James', 'Robert', 'John', 'Willie', 'William']"
1941,MO,60821,Midwest,2.66,"['James', 'Robert', 'John', 'William', 'Barbara']"
1941,MT,9108,West,0.40,"['Robert', 'James', 'John', 'Sharon', 'William']"
1941,NE,18965,Midwest,0.83,"['Robert', 'Larry', 'Mary', 'Richard', 'James']"
1941,NV,1193,West,0.05,"['Robert', 'John', 'James', 'William', 'David']"
1941,NH,6981,Northeast,0.31,"['Robert', 'Richard', 'John', 'David', 'Patricia']"
1941,NJ,59502,Northeast,2.60,"['Robert', 'John', 'William', 'Barbara', 'Richard']"
1941,NM,11887,West,0.52,"['Mary', 'Robert', 'Joe', 'John', 'James']"
1941,NY,196822,Northeast,8.60,"['Robert', 'John', 'Richard', 'William', 'James']"
1941,NC,77669,South,3.39,"['James', 'William', 'Robert', 'John', 'Barbara']"
1941,ND,10930,Midwest,0.48,"['Robert', 'Richard', 'James', 'Mary', 'Gary']"
1941,OH,116583,Midwest,5.09,"['James', 'Robert', 'John', 'William', 'Richard']"
1941,OK,41970,South,1.83,"['James', 'Jerry', 'John', 'Robert', 'Charles']"
1941,OR,16040,West,0.70,"['Robert', 'James', 'John', 'Richard', 'Gary']"
1941,PA,159557,Northeast,6.97,"['John', 'Robert', 'James', 'William', 'Richard']"
1941,RI,9805,Northeast,0.43,"['Robert', 'John', 'Richard', 'William', 'Patricia']"
1941,SC,44208,South,1.93,"['James', 'John', 'William', 'Robert', 'Charles']"
1941,SD,9757,Midwest,0.43,"['James', 'Robert', 'Richard', 'Mary', 'Larry']"
1941,TN,59015,South,2.58,"['James', 'William', 'Robert', 'Charles', 'John']"
1941,TX,130245,South,5.69,"['James', 'Robert', 'John', 'Charles', 'William']"
1941,UT,10901,West,0.48,"['Robert', 'Richard', 'John', 'Linda', 'David']"
1941,VT,5138,Northeast,0.22,"['Robert', 'Richard', 'John', 'Patricia', 'James']"
1941,VA,51788,South,2.26,"['James', 'William', 'Robert', 'John', 'Barbara']"
1941,WA,26574,West,1.16,"['James', 'Robert', 'John', 'Sharon', 'Richard']"
1941,WV,39411,South,1.72,"['James', 'Mary', 'Robert', 'William', 'Charles']"
1941,WI,51483,Midwest,2.25,"['Robert', 'James', 'Richard', 'Mary', 'John']"
1941,WY,3618,West,0.16,"['Robert', 'Mary', 'James', 'John', 'William']"
1942,AK,850,West,0.03,"['John', 'Mary', 'Robert', 'William', 'James']"
1942,AL,65759,South,2.55,"['James', 'William', 'Robert', 'John', 'Charles']"
1942,AZ,11878,West,0.46,"['Mary', 'Robert', 'John', 'James', 'William']"
1942,AR,41322,South,1.60,"['James', 'Charles', 'John', 'Robert', 'William']"
1942,CA,142012,West,5.51,"['Robert', 'John', 'James', 'Richard', 'William']"
1942,CO,20548,West,0.80,"['Robert', 'John', 'Mary', 'James', 'Richard']"
1942,CT,32335,Northeast,1.25,"['Robert', 'John', 'Richard', 'William', 'Patricia']"
1942,DE,4365,South,0.17,"['John', 'William', 'Robert', 'James', 'Mary']"
1942,FL,36398,South,1.41,"['James', 'Robert', 'William', 'John', 'Charles']"
1942,GA,70442,South,2.73,"['James', 'William', 'Robert', 'John', 'Charles']"
1942,HI,7903,West,0.31,"['Robert', 'Richard', 'James', 'Ronald', 'William']"
1942,ID,9181,West,0.36,"['James', 'Robert', 'John', 'Sharon', 'Linda']"
1942,IL,144388,Midwest,5.60,"['Robert', 'James', 'John', 'William', 'Richard']"
1942,IN,66182,Midwest,2.57,"['James', 'Robert', 'John', 'Mary', 'William']"
1942,IA,43993,Midwest,1.71,"['Mary', 'Robert', 'James', 'Larry', 'John']"
1942,KS,29235,Midwest,1.13,"['Larry', 'Robert', 'Mary', 'James', 'John']"
1942,KY,59287,South,2.30,"['James', 'William', 'Charles', 'Robert', 'John']"
1942,LA,52419,South,2.03,"['James', 'John', 'Robert', 'Charles', 'Barbara']"
1942,ME,14722,Northeast,0.57,"['Robert', 'Richard', 'John', 'David', 'James']"
1942,MD,36040,South,1.40,"['Robert', 'John', 'William', 'James', 'Mary']"
