year,state,births,region,percent,topFive
1911,GA,23963,South,4.24,"['James', 'John', 'Annie', 'Willie', 'William']"
1911,HI,730,West,0.13,"['Mary', 'John', 'Helen', 'Joseph', 'George']"
1911,ID,1338,West,0.24,"['Mary', 'Helen', 'William', 'John', 'Dorothy']"
1911,IL,28487,Midwest,5.03,"['Mary', 'Helen', 'John', 'Dorothy', 'Margaret']"
1911,IN,11293,Midwest,2.00,"['Helen', 'Dorothy', 'Ruth', 'John', 'Mildred']"
1911,IA,8529,Midwest,1.51,"['Helen', 'Mary', 'Dorothy', 'Ruth', 'Margaret']"
1911,KS,7752,Midwest,1.37,"['Mary', 'Helen', 'Dorothy', 'Margaret', 'Mildred']"
1911,KY,15758,South,2.79,"['Mary', 'William', 'James', 'John', 'Elizabeth']"
1911,LA,13340,South,2.36,"['Mary', 'John', 'James', 'Joseph', 'Marie']"
1911,ME,3700,Northeast,0.65,"['Mary', 'Dorothy', 'Helen', 'John', 'Ruth']"
1911,MD,7559,South,1.34,"['Mary', 'William', 'Margaret', 'John', 'James']"
1911,MA,22850,Northeast,4.04,"['Mary', 'John', 'Helen', 'Joseph', 'William']"
1911,MI,12958,Midwest,2.29,"['Mary', 'Helen', 'Dorothy', 'Margaret', 'John']"
1911,MN,9157,Midwest,1.62,"['Mary', 'Helen', 'Dorothy', 'Margaret', 'Ruth']"
1911,MS,14831,South,2.62,"['Mary', 'James', 'John', 'Willie', 'Annie']"
1911,MO,16757,Midwest,2.96,"['Mary', 'Helen', 'William', 'Dorothy', 'Mildred']"
1911,MT,1638,West,0.29,"['Mary', 'Margaret', 'John', 'Dorothy', 'William']"
1911,NE,5359,Midwest,0.95,"['Helen', 'Mary', 'Dorothy', 'Ruth', 'Mildred']"
1911,NV,85,West,0.02,"['John', 'William', 'Margaret', 'Helen', 'Louise']"
1911,NH,1823,Northeast,0.32,"['Mary', 'Dorothy', 'John', 'Joseph', 'Alice']"
1911,NJ,15556,Northeast,2.75,"['Mary', 'John', 'Helen', 'Anna', 'Margaret']"
1911,NM,1705,West,0.30,"['Mary', 'Jose', 'Maria', 'John', 'Joe']"
1911,NY,60799,Northeast,10.75,"['John', 'Joseph', 'William', 'George', 'James']"
1911,NC,19864,South,3.51,"['Mary', 'James', 'John', 'William', 'Annie']"
1911,ND,3086,Midwest,0.55,"['Mary', 'Margaret', 'Helen', 'Ruth', 'Alice']"
1911,OH,24593,Midwest,4.35,"['Helen', 'Dorothy', 'Ruth', 'Margaret', 'John']"
1911,OK,11414,South,2.02,"['Mary', 'Ruby', 'James', 'William', 'John']"
1911,OR,2329,West,0.41,"['Dorothy', 'Helen', 'Mary', 'John', 'Ruth']"
1911,PA,52583,Northeast,9.29,"['Helen', 'John', 'Margaret', 'Dorothy', 'William']"
1911,RI,2882,Northeast,0.51,"['Mary', 'John', 'Joseph', 'Helen', 'Anna']"
1911,SC,14881,South,2.63,"['James', 'Mary', 'John', 'William', 'Annie']"
1911,SD,2704,Midwest,0.48,"['Helen', 'Mary', 'Dorothy', 'John', 'Margaret']"
1911,TN,14743,South,2.61,"['James', 'William', 'John', 'Robert', 'Ruth']"
1911,TX,28678,South,5.07,"['James', 'Ruby', 'John', 'William', 'Robert']"
1911,UT,1760,West,0.31,"['Mary', 'Helen', 'Ruth', 'John', 'George']"
1911,VT,1410,Northeast,0.25,"['Mary', 'Ruth', 'Helen', 'Doris', 'Dorothy']"
1911,VA,16430,South,2.90,"['Mary', 'James', 'William', 'John', 'Virginia']"
1911,WA,4493,West,0.79,"['Helen', 'Mary', 'Margaret', 'Dorothy', 'John']"
1911,WV,8620,South,1.52,"['Mary', 'William', 'Virginia', 'John', 'James']"
1911,WI,9812,Midwest,1.73,"['Mary', 'Dorothy', 'Helen', 'Margaret', 'Ruth']"
1911,WY,381,West,0.07,"['Mary', 'John', 'Helen', 'Ruth', 'Frances']"
1912,AK,141,West,0.02,"['John', 'William', 'George', 'Mary', 'Elsie']"
1912,AL,26619,South,3.00,"['James', 'John', 'William', 'Annie', 'Robert']"
1912,AZ,1860,West,0.21,"['Mary', 'John', 'James', 'Frank', 'Maria']"
1912,AR,15833,South,1.78,"['Mary', 'James', 'William', 'John', 'Ruby']"
1912,CA,17944,West,2.02,"['Mary', 'John', 'William', 'Dorothy', 'Robert']"
1912,CO,5883,West,0.66,"['Mary', 'John', 'Helen', 'William', 'Margaret']"
1912,CT,10670,Northeast,1.20,"['Mary', 'John', 'Joseph', 'Helen', 'William']"
1912,DE,1361,South,0.15,"['John', 'Mary', 'William', 'Dorothy', 'James']"
1912,FL,9689,South,1.09,"['James', 'Mary', 'John', 'William', 'Robert']"
1912,GA,34429,South,3.88,"['Mary', 'James', 'John', 'William', 'Annie']"
1912,HI,1351,West,0.15,"['Mary', 'John', 'Alice', 'Helen', 'Rose']"
1912,ID,2481,West,0.28,"['Mary', 'John', 'William', 'Dorothy', 'Robert']"
1912,IL,50615,Midwest,5.70,"['Mary', 'John', 'Helen', 'William', 'Dorothy']"
1912,IN,20474,Midwest,2.31,"['Mary', 'Helen', 'John', 'Robert', 'Dorothy']"
1912,IA,16112,Midwest,1.81,"['Mary', 'Helen', 'John', 'Dorothy', 'Mildred']"
1912,KS,13119,Midwest,1.48,"['Mary', 'John', 'Helen', 'Dorothy', 'William']"
1912,KY,22445,South,2.53,"['William', 'James', 'John', 'Robert', 'Charles']"
1912,LA,20049,South,2.26,"['John', 'James', 'Joseph', 'William', 'Willie']"
1912,ME,5193,Northeast,0.58,"['Mary', 'Dorothy', 'John', 'Helen', 'Ruth']"
1912,MD,11774,South,1.33,"['Mary', 'William', 'John', 'James', 'Charles']"
1912,MA,32955,Northeast,3.71,"['John', 'Joseph', 'Helen', 'William', 'Dorothy']"
1912,MI,22003,Midwest,2.48,"['Mary', 'Helen', 'John', 'Dorothy', 'Margaret']"
1912,MN,15917,Midwest,1.79,"['Mary', 'John', 'Helen', 'Dorothy', 'Margaret']"
1912,MS,21057,South,2.37,"['Mary', 'James', 'John', 'Willie', 'William']"
1912,MO,26405,Midwest,2.97,"['Mary', 'William', 'John', 'Helen', 'James']"
1912,MT,2873,West,0.32,"['John', 'Mary', 'William', 'Margaret', 'Helen']"
1912,NE,10215,Midwest,1.15,"['Helen', 'John', 'Mary', 'Dorothy', 'William']"
1912,NV,151,West,0.02,"['John', 'William', 'Frank', 'James', 'George']"
1912,NH,2594,Northeast,0.29,"['Mary', 'John', 'George', 'Ruth', 'Joseph']"
1912,NJ,25770,Northeast,2.90,"['Mary', 'John', 'Helen', 'Joseph', 'William']"
1912,NM,2724,West,0.31,"['Mary', 'Jose', 'Maria', 'Joe', 'John']"
1912,NY,92042,Northeast,10.37,"['John', 'Joseph', 'William', 'Dorothy', 'Rose']"
1912,NC,29246,South,3.29,"['James', 'William', 'John', 'Annie', 'Robert']"
1912,ND,5419,Midwest,0.61,"['John', 'Mary', 'Helen', 'Margaret', 'Ruth']"
1912,OH,40949,Midwest,4.61,"['Mary', 'John', 'Helen', 'Robert', 'William']"
1912,OK,17250,South,1.94,"['Mary', 'William', 'John', 'James', 'Ruby']"
1912,OR,4281,West,0.48,"['Helen', 'Mary', 'Robert', 'John', 'William']"
1912,PA,81137,Northeast,9.14,"['John', 'Anna', 'William', 'Joseph', 'Charles']"
1912,RI,4389,Northeast,0.49,"['Mary', 'John', 'Joseph', 'William', 'Helen']"
1912,SC,20371,South,2.29,"['James', 'John', 'William', 'Annie', 'Willie']"
1912,SD,4602,Midwest,0.52,"['Mary', 'John', 'Helen', 'Dorothy', 'Margaret']"
1912,TN,22232,South,2.50,"['Mary', 'James', 'William', 'John', 'Robert']"
1912,TX,45153,South,5.08,"['James', 'John', 'William', 'Robert', 'Ruby']"
1912,UT,3339,West,0.38,"['Mary', 'John', 'William', 'Helen', 'George']"
1912,VT,2202,Northeast,0.25,"['Mary', 'Dorothy', 'Helen', 'William', 'George']"
1912,VA,23930,South,2.69,"['James', 'William', 'John', 'Virginia', 'Robert']"
1912,WA,7224,West,0.81,"['John', 'Mary', 'Helen', 'Robert', 'Dorothy']"
1912,WV,12950,South,1.46,"['Mary', 'James', 'William', 'John', 'Virginia']"
1912,WI,17574,Midwest,1.98,"['Mary', 'John', 'Helen', 'Margaret', 'Dorothy']"
1912,WY,644,West,0.07,"['Mary', 'John', 'James', 'George', 'Margaret']"
1913,AK,110,West,0.01,"['Mary', 'John', 'William', 'Elizabeth', 'James']"
1913,AL,29301,South,2.85,"['James', 'John', 'William', 'Annie', 'Robert']"
1913,AZ,2181,West,0.21,"['Mary', 'John', 'William', 'James', 'George']"
1913,AR,17969,South,1.75,"['Mary', 'James', 'William', 'John', 'Robert']"
1913,CA,22094,West,2.15,"['John', 'Mary', 'William', 'Dorothy', 'Robert']"
1913,CO,6829,West,0.66,"['Mary', 'John', 'Helen', 'William', 'Dorothy']"
1913,CT,12929,Northeast,1.26,"['Mary', 'John', 'Helen', 'Joseph', 'William']"
1913,DE,1532,South,0.15,"['Mary', 'John', 'William', 'James', 'Helen']"
1913,FL,10294,South,1.00,"['James', 'Mary', 'John', 'William', 'Robert']"
1913,GA,37083,South,3.61,"['James', 'John', 'William', 'Willie', 'Annie']"
1913,HI,1707,West,0.17,"['Mary', 'George', 'John', 'James', 'Joseph']"
1913,ID,3179,West,0.31,"['John', 'Mary', 'Robert', 'Helen', 'James']"
1913,IL,61375,Midwest,5.97,"['John', 'Helen', 'William', 'Dorothy', 'Joseph']"
1913,IN,23962,Midwest,2.33,"['Mary', 'Helen', 'John', 'Robert', 'William']"
1913,IA,19733,Midwest,1.92,"['Helen', 'John', 'Dorothy', 'Margaret', 'Robert']"
1913,KS,15931,Midwest,1.55,"['Mary', 'John', 'Helen', 'William', 'Dorothy']"
1913,KY,26274,South,2.55,"['William', 'James', 'John', 'Robert', 'Charles']"
1913,LA,21197,South,2.06,"['Mary', 'John', 'James', 'Joseph', 'William']"
1913,ME,5841,Northeast,0.57,"['John', 'Mary', 'Dorothy', 'George', 'Helen']"
1913,MD,13015,South,1.27,"['Mary', 'William', 'John', 'Charles', 'Margaret']"
1913,MA,38013,Northeast,3.70,"['Mary', 'John', 'Joseph', 'Helen', 'William']"
1913,MI,27469,Midwest,2.67,"['Mary', 'John', 'Helen', 'Dorothy', 'William']"
1913,MN,19725,Midwest,1.92,"['John', 'Helen', 'Mary', 'Dorothy', 'Margaret']"
1913,MS,22601,South,2.20,"['Mary', 'James', 'John', 'Willie', 'William']"
1913,MO,30943,Midwest,3.01,"['William', 'John', 'Dorothy', 'James', 'Helen']"
1913,MT,4041,West,0.39,"['John', 'Mary', 'Helen', 'William', 'Dorothy']"
1913,NE,11977,Midwest,1.16,"['John', 'Mary', 'Helen', 'Dorothy', 'William']"
1913,NV,268,West,0.03,"['Mary', 'John', 'William', 'George', 'Helen']"
1913,NH,3118,Northeast,0.30,"['John', 'Mary', 'Helen', 'Joseph', 'Robert']"
1913,NJ,29198,Northeast,2.84,"['John', 'Mary', 'Helen', 'Joseph', 'William']"
1913,NM,2920,West,0.28,"['Mary', 'John', 'Jose', 'Joe', 'Frank']"
1913,NY,103331,Northeast,10.05,"['John', 'Joseph', 'William', 'Margaret', 'Rose']"
1913,NC,32786,South,3.19,"['James', 'William', 'John', 'Annie', 'Robert']"
1913,ND,6487,Midwest,0.63,"['John', 'Helen', 'Mary', 'William', 'Margaret']"
1913,OH,49387,Midwest,4.80,"['Mary', 'John', 'Robert', 'William', 'Dorothy']"
1913,OK,20363,South,1.98,"['Mary', 'William', 'John', 'James', 'Robert']"
1913,OR,5020,West,0.49,"['Mary', 'Helen', 'John', 'William', 'Dorothy']"
1913,PA,93939,Northeast,9.13,"['John', 'Helen', 'William', 'Joseph', 'Charles']"
1913,RI,5056,Northeast,0.49,"['Mary', 'John', 'Joseph', 'William', 'Helen']"
1913,SC,22262,South,2.16,"['James', 'John', 'William', 'Willie', 'Annie']"
1913,SD,5625,Midwest,0.55,"['John', 'Mary', 'Dorothy', 'Helen', 'Ruth']"
1913,TN,25201,South,2.45,"['Mary', 'James', 'William', 'John', 'Robert']"
1913,TX,53919,South,5.24,"['James', 'William', 'John', 'Robert', 'George']"
1913,UT,4069,West,0.40,"['John', 'William', 'Mary', 'Helen', 'Ruth']"
1913,VT,2470,Northeast,0.24,"['John', 'Mary', 'Helen', 'Dorothy', 'Robert']"
1913,VA,26785,South,2.60,"['James', 'William', 'John', 'Robert', 'Virginia']"
1913,WA,8627,West,0.84,"['John', 'Mary', 'Dorothy', 'William', 'Helen']"
1913,WV,15025,South,1.46,"['Mary', 'William', 'James', 'John', 'Virginia']"
1913,WI,21916,Midwest,2.13,"['John', 'Mary', 'Helen', 'Dorothy', 'Margaret']"
1913,WY,878,West,0.09,"['Mary', 'John', 'William', 'James', 'Helen']"
1914,AK,245,West,0.02,"['Mary', 'John', 'James', 'Joseph', 'Margaret']"
1914,AL,35861,South,2.77,"['Mary', 'James', 'John', 'William', 'Annie']"
1914,AZ,2973,West,0.23,"['Mary', 'William', 'John', 'Frank', 'George']"
1914,AR,22430,South,1.73,"['James', 'Mary', 'John', 'William', 'Robert']"
1914,CA,26923,West,2.08,"['Mary', 'John', 'William', 'Robert', 'Dorothy']"
1914,CO,8527,West,0.66,"['Mary', 'John', 'William', 'Helen', 'Dorothy']"
1914,CT,18182,Northeast,1.41,"['Mary', 'John', 'Joseph', 'Helen', 'William']"
1914,DE,2065,South,0.16,"['William', 'Mary', 'John', 'Margaret', 'James']"
1914,FL,13663,South,1.06,"['James', 'Mary', 'William', 'John', 'Willie']"
1914,GA,46039,South,3.56,"['James', 'Mary', 'John', 'William', 'Willie']"
1914,HI,2249,West,0.17,"['Mary', 'George', 'John', 'William', 'Joseph']"
1914,ID,4102,West,0.32,"['John', 'William', 'Mary', 'Robert', 'James']"
1914,IL,74288,Midwest,5.74,"['John', 'Helen', 'William', 'Dorothy', 'Robert']"
1914,IN,30273,Midwest,2.34,"['John', 'Robert', 'Helen', 'William', 'Charles']"
1914,IA,24830,Midwest,1.92,"['Mary', 'John', 'Helen', 'Robert', 'William']"
1914,KS,17739,Midwest,1.37,"['Mary', 'John', 'William', 'Helen', 'Dorothy']"
1914,KY,30565,South,2.36,"['James', 'William', 'John', 'Robert', 'Charles']"
1914,LA,25242,South,1.95,"['Mary', 'John', 'James', 'Joseph', 'William']"
1914,ME,8621,Northeast,0.67,"['Mary', 'John', 'Dorothy', 'Robert', 'Ruth']"
1914,MD,16786,South,1.30,"['Mary', 'William', 'John', 'James', 'Charles']"
1914,MA,51375,Northeast,3.97,"['John', 'Joseph', 'William', 'Helen', 'Dorothy']"
1914,MI,33736,Midwest,2.61,"['John', 'Mary', 'Helen', 'Dorothy', 'William']"
1914,MN,24972,Midwest,1.93,"['John', 'Helen', 'Mary', 'Dorothy', 'Margaret']"
1914,MS,27022,South,2.09,"['James', 'John', 'William', 'Willie', 'Robert']"
1914,MO,36327,Midwest,2.81,"['Mary', 'William', 'John', 'James', 'Dorothy']"
1914,MT,5546,West,0.43,"['Mary', 'John', 'William', 'Robert', 'Helen']"
1914,NE,14521,Midwest,1.12,"['John', 'Helen', 'Mary', 'Dorothy', 'William']"
1914,NV,405,West,0.03,"['John', 'William', 'James', 'Ruth', 'George']"
1914,NH,4735,Northeast,0.37,"['Mary', 'John', 'Robert', 'George', 'William']"
1914,NJ,38100,Northeast,2.95,"['John', 'Mary', 'Helen', 'Joseph', 'William']"
1914,NM,3692,West,0.29,"['Mary', 'John', 'Jose', 'Joe', 'Maria']"
1914,NY,136837,Northeast,10.58,"['John', 'Joseph', 'William', 'Dorothy', 'Charles']"
1914,NC,42767,South,3.31,"['James', 'Mary', 'William', 'John', 'Robert']"
1914,ND,8200,Midwest,0.63,"['John', 'Margaret', 'Mary', 'Helen', 'William']"
1914,OH,61314,Midwest,4.74,"['John', 'Helen', 'Robert', 'William', 'Dorothy']"
1914,OK,24093,South,1.86,"['Mary', 'James', 'William', 'John', 'Ruby']"
1914,OR,6559,West,0.51,"['Robert', 'John', 'William', 'Helen', 'Dorothy']"
1914,PA,121914,Northeast,9.43,"['John', 'Joseph', 'William', 'Charles', 'Dorothy']"
1914,RI,7274,Northeast,0.56,"['Mary', 'John', 'Joseph', 'William', 'James']"
1914,SC,28195,South,2.18,"['James', 'John', 'William', 'Willie', 'Robert']"
1914,SD,6865,Midwest,0.53,"['John', 'Dorothy', 'Mary', 'Helen', 'William']"
1914,TN,30036,South,2.32,"['James', 'Mary', 'William', 'John', 'Robert']"
1914,TX,64513,South,4.99,"['James', 'John', 'William', 'Robert', 'George']"
1914,UT,5402,West,0.42,"['John', 'Mary', 'William', 'James', 'Ruth']"
1914,VT,3451,Northeast,0.27,"['Mary', 'John', 'Ruth', 'George', 'Dorothy']"
1914,VA,32214,South,2.49,"['James', 'William', 'John', 'Robert', 'Virginia']"
1914,WA,10816,West,0.84,"['John', 'Robert', 'Mary', 'William', 'Helen']"
1914,WV,18793,South,1.45,"['Mary', 'James', 'John', 'William', 'Virginia']"
1914,WI,27626,Midwest,2.14,"['John', 'Helen', 'Mary', 'Dorothy', 'Robert']"
1914,WY,1156,West,0.09,"['Mary', 'John', 'George', 'William', 'Margaret']"
1915,AK,325,West,0.02,"['Mary', 'John', 'William', 'Robert', 'Alice']"
1915,AL,42842,South,2.53,"['James', 'John', 'William', 'Robert', 'Annie']"
1915,AZ,3989,West,0.24,"['Mary', 'John', 'William', 'Robert', 'Frank']"
